PDB_ID,H_chain_ID,L_chain_ID,Ag_chain_ID(s),Ab_type,Ag_species,Ag_mol_name(s),Resolution,KD_nM,neg_log10_KD,Affinity_method,antigen_group
6a0z,H,L,A,FabH:FabL,influenza a virus,"hemagglutinin,envelope glycoprotein",2.33,53.0,-1.7242758696007892,SPR,influenza-a-virus/hemagglutinin-envelope-glycoprotein
6a3w,A,B,C,VH:VL,homo sapiens,tumor necrosis factor receptor superfamily member 9,2.0,2.3,-0.36172783601759284,SPR,homo-sapiens/tumor-necrosis-factor-receptor-superfamily-member-9
6dc3,H,L,F,FabH:FabL,human respiratory syncytial virus a (strain a2),rsv fusion glycoprotein,3.5,34.0,-1.5314789170422551,SPR,human-respiratory-syncytial-virus-a/rsv-fusion-glycoprotein
6dc5,B,C,A,FabH:FabL,human respiratory syncytial virus a (strain a2),rsv fusion glycoprotein,3.5,0.12,0.9208187539523752,SPR,human-respiratory-syncytial-virus-a/rsv-fusion-glycoprotein
6e62,B,C,A,FabH:FabL,plasmodium falciparum,pf48/45,2.7,3.2,-0.505149978319906,BLI,plasmodium-falciparum/pf48-45
6e63,B,C,A,FabH:FabL,plasmodium falciparum,pf48/45,2.6,3.7,-0.568201724066995,BLI,plasmodium-falciparum/pf48-45
6her,B,N.A.,A,VHH,mus musculus,major prion protein,1.2,40.0,-1.6020599913279625,SPR,mus-musculus/major-prion-protein
6hhc,H,L,A,FabH:FabL,homo sapiens,coagulation factor xi,2.7,2.4,-0.38021124171160603,SPR,homo-sapiens/coagulation-factor-xi
6i04,C,D,B,FabH:FabL,homo sapiens,hepatocyte growth factor receptor,3.1,0.2,0.6989700043360187,BLI,homo-sapiens/hepatocyte-growth-factor-receptor
6i8s,E,I,A;D,FabH:FabL,homo sapiens;homo sapiens,plasminogen activator inhibitor 1;plasminogen activator inhibitor 1,2.9,0.006,2.2218487496163566,SPR,homo-sapiens/plasminogen-activator-inhibitor-1
6iea,H,L,A,FabH:FabL,rift valley fever virus,nsmgngc,2.0,295.0,-2.469822015978163,SPR,rift-valley-fever-virus/nsmgngc
6ieb,E,F,B,FabH:FabL,rift valley fever virus,nsmgngc,2.41,18.5,-1.2671717284030137,SPR,rift-valley-fever-virus/nsmgngc
6iec,C,D,B,VH:VL,rift valley fever virus,nsmgngc,3.2,743.0,-2.8709888137605755,SPR,rift-valley-fever-virus/nsmgngc
6iek,B,C,A,FabH:FabL,rift valley fever virus,nsmgngc,2.7,47.7,-1.678518379040114,SPR,rift-valley-fever-virus/nsmgngc
6ivz,H,L,A,VH:VL,yellow fever virus,envelope protein,2.4,9.7,-0.9867717342662449,SPR,yellow-fever-virus/envelope-protein
6j11,D,E,C,VH:VL,middle east respiratory syndrome-related coronavirus,n-terminal domain of spike glycoprotein,3.0,25.0,-1.3979400086720377,SPR,middle-east-respiratory-syndrome-related-coronavirus/n-terminal-domain-of-spike-glycoprotein
6j14,A,B,G,VH:VL,homo sapiens,programmed cell death protein 1,1.4,1.54,-0.1875207208364631,SPR,homo-sapiens/programmed-cell-death-protein-1
