antigen_group,split,n_entries
arabidopsis-thaliana/cystinosin-homolog,train,3
arachis-hypogaea/ara-h-2-allergen,test,2
bacillus-anthracis/s-layer-protein-ea1,train,2
betacoronavirus-sp/spike-protein-s1,train,1
betula-pendula/major-pollen-allergen-bet-v-1-a,train,3
betula-pendula/recombinant-bet-v-1,train,1
bordetella-pertussis/bifunctional-adenylate-cyclase-toxin-hemolysin-cyaa-bifunctional-adenylate-cyclase-toxin-hemolysin-cyaa,train,2
bos-taurus/il17rb-protein,train,1
bovine-schmallenberg-virus/envelopment-polyprotein,test,2
clostridioides-difficile-r20291/toxin-b,test,1
clostridium-tetani/tetanus-toxin,train,1
coxsackievirus-a16/capsid-protein-vp1,train,1
coxsackievirus-a16/capsid-protein-vp3,train,1
coxsackievirus-b1/virion-protein-1;vp2;vp3,train,1
coxsackievirus-b1/vp2,eval,2
coxsackievirus-b1/vp2;vp3,eval,1
crimean-congo-hemorrhagic-fever-orthonairovirus/glycoprotein-c-cchfv-envelope-protein-gc-fusion-loops,train,1
crimean-congo-hemorrhagic-fever-orthonairovirus/glycoprotein-c-cchfv-gc-fusion-loops,train,1
dengue-virus-1/non-structural-protein-1,test,1
dengue-virus-2/non-structural-protein-1,train,2
dermatophagoides-pteronyssinus/der-p-2-variant-3,train,1
ebola-virus-mayinga-zaire-1976/envelope-glycoprotein,eval,2
ebola-virus-mayinga-zaire-1976/glycoprotein-gp1,train,2
ebola-virus-mayinga-zaire-1976/gp2,train,1
ebola-virus/envelope-glycoprotein;small-secreted-glycoprotein-sgp,train,1
epstein-barr-virus/envelope-glycoprotein-h;envelope-glycoprotein-l,train,1
epstein-barr-virus/glycoprotein-42,test,2
escherichia-coli-o157-h7/outer-membrane-protein-assembly-factor-bama,train,3
escherichia-coli/beta-lactamase,eval,1
escherichia-coli/fp15,train,1
escherichia-coli/maltose-maltodextrin-binding-periplasmic-protein,test,1
foot-and-mouth-disease-virus/vp3-of-o-type-fmdv-capsid,train,1
gallus-gallus/lysozyme-c,train,5
gallus-gallus/proton-coupled-folate-transporter,train,1
hendra-henipavirus/fusion-glycoprotein-f0,train,1
hendra-henipavirus/receptor-binding-protein,train,2
henipavirus-nipahense/glycoprotein-g,eval,1
hevea-brasiliensis/profilin-2,train,1
homo-sapiens/4f2-cell-surface-antigen-heavy-chain,train,1
homo-sapiens/5-nucleotidase-ecto-cd73-isoform-cra-a,train,1
homo-sapiens/activin-receptor-type-1,train,1
homo-sapiens/adp-ribosyl-cyclase-cyclic-adp-ribose-hydrolase-1,train,2
homo-sapiens/afucosylated-igg1-fragment,eval,1
homo-sapiens/angiotensin-converting-enzyme-2,train,2
homo-sapiens/apelin-receptor-rubredoxin-apelin-receptor,train,1
homo-sapiens/apolipoprotein-l1,train,3
homo-sapiens/atp-binding-cassette-sub-family-g-member-8,eval,2
homo-sapiens/b-lymphocyte-antigen-cd19,train,2
homo-sapiens/b-lymphocyte-antigen-cd20,test,1
homo-sapiens/bcl-2-homologous-antagonist-killer,train,1
homo-sapiens/beta-chain-1-of-a6-t-cell-receptor-trbc1,train,1
homo-sapiens/c-type-lectin-domain-family-12-member-a,train,1
homo-sapiens/cadherin-3,eval,1
homo-sapiens/cd22-d6-d7-ig-domains,train,1
homo-sapiens/cd27-antigen,train,1
homo-sapiens/cell-surface-glycoprotein-muc18,test,1
homo-sapiens/chitinase-3-like-protein-1,train,1
homo-sapiens/coagulation-factor-xi,train,1
homo-sapiens/complement-c3dg-fragment,train,1
homo-sapiens/complement-c4-beta-chain;complement-c4-a-alpha-chain,eval,1
homo-sapiens/complement-component-c6,train,1
homo-sapiens/complement-factor-h,test,1
homo-sapiens/cytokine-receptor-common-subunit-gamma,train,1
homo-sapiens/cytotoxic-t-lymphocyte-protein-4,train,5
homo-sapiens/dipeptidase-3,train,1
homo-sapiens/e3-ubiquitin-protein-ligase-rnf31,train,1
homo-sapiens/ectonucleotide-pyrophosphatase-phosphodiesterase-family-member-1-secreted-form-immunoglobulin-gamma-1-heavy-chain-fusion,train,1
homo-sapiens/epithelial-cell-adhesion-molecule,eval,1
homo-sapiens/epithelial-discoidin-domain-containing-receptor-1,train,1
homo-sapiens/eukaryotic-translation-initiation-factor-4e,train,2
homo-sapiens/frizzled-10,test,2
homo-sapiens/frizzled-5,train,1
homo-sapiens/frizzled-7,train,2
homo-sapiens/frizzled-8,train,1
homo-sapiens/galectin-10,eval,1
homo-sapiens/gasdermin-d,train,2
homo-sapiens/glypican-2,train,1
homo-sapiens/gp120,test,1
homo-sapiens/gremlin-1,train,1
homo-sapiens/growth-differentiation-factor-8,train,1
homo-sapiens/hepatitis-a-virus-cellular-receptor-2,train,1
homo-sapiens/hepatocyte-growth-factor-receptor,train,1
homo-sapiens/human-a6-t-cell-receptor-beta-chain-trbc1,eval,1
homo-sapiens/human-a6-t-cell-receptor-beta-chain-trbc2,train,1
homo-sapiens/human-t-cell-receptor-beta-chain-trbc2,test,1
homo-sapiens/icos-ligand,train,1
homo-sapiens/ige-fc,train,3
homo-sapiens/immunoglobulin-heavy-constant-epsilon,train,1
homo-sapiens/inducible-t-cell-costimulator,train,1
homo-sapiens/interleukin-1-beta,train,2
homo-sapiens/interleukin-17a,eval,3
homo-sapiens/interleukin-18-receptor-accessory-protein,eval,1
homo-sapiens/interleukin-2,eval,2
homo-sapiens/interleukin-2-receptor-subunit-alpha,train,1
homo-sapiens/interleukin-2-receptor-subunit-beta,train,1
homo-sapiens/interleukin-27-subunit-alpha,test,1
homo-sapiens/interleukin-6-receptor-subunit-alpha,train,1
homo-sapiens/interleukin-7-receptor-subunit-alpha,eval,2
